installment_id,loan_id,customer_id,installment_no,due_date,amount_due,payment_status,payment_date,remaining_balance
INS-00001,LOAN-0008,CUST-0008,1,11-10-2022,"3479,02",Paid,11-10-2022,"166992,96"
INS-00002,LOAN-0008,CUST-0008,2,11-11-2022,"3479,02",Paid,11-11-2022,"163513,94"
INS-00003,LOAN-0008,CUST-0008,3,11-12-2022,"3479,02",Paid,11-12-2022,"160034,92"
INS-00004,LOAN-0008,CUST-0008,4,11-01-2023,"3479,02",Paid,11-01-2023,"156555,9"
INS-00005,LOAN-0008,CUST-0008,5,11-02-2023,"3479,02",Paid,13-02-2023,"153076,88"
INS-00006,LOAN-0008,CUST-0008,6,11-03-2023,"3479,02",Late,18-03-2023,"149597,86"
INS-00007,LOAN-0008,CUST-0008,7,11-04-2023,"3479,02",Paid,12-04-2023,"146118,84"
INS-00008,LOAN-0008,CUST-0008,8,11-05-2023,"3479,02",Late,27-05-2023,"142639,82"
INS-00009,LOAN-0008,CUST-0008,9,11-06-2023,"3479,02",Paid,12-06-2023,"139160,8"
INS-00010,LOAN-0008,CUST-0008,10,11-07-2023,"3479,02",Paid,14-07-2023,"135681,78"
INS-00011,LOAN-0008,CUST-0008,11,11-08-2023,"3479,02",Paid,13-08-2023,"132202,76"
INS-00012,LOAN-0008,CUST-0008,12,11-09-2023,"3479,02",Paid,15-09-2023,"128723,74"
INS-00013,LOAN-0008,CUST-0008,13,11-10-2023,"3479,02",Paid,15-10-2023,"125244,72"
INS-00014,LOAN-0008,CUST-0008,14,11-11-2023,"3479,02",Paid,11-11-2023,"121765,7"
INS-00015,LOAN-0008,CUST-0008,15,11-12-2023,"3479,02",Paid,13-12-2023,"118286,68"
INS-00016,LOAN-0008,CUST-0008,16,11-01-2024,"3479,02",Paid,11-01-2024,"114807,66"
INS-00017,LOAN-0008,CUST-0008,17,11-02-2024,"3479,02",Paid,14-02-2024,"111328,64"
INS-00018,LOAN-0008,CUST-0008,18,11-03-2024,"3479,02",Paid,11-03-2024,"107849,62"
INS-00019,LOAN-0008,CUST-0008,19,11-04-2024,"3479,02",Late,27-04-2024,"104370,6"
INS-00020,LOAN-0008,CUST-0008,20,11-05-2024,"3479,02",Paid,11-05-2024,"100891,58"
INS-00021,LOAN-0008,CUST-0008,21,11-06-2024,"3479,02",Paid,11-06-2024,"97412,56"
INS-00022,LOAN-0008,CUST-0008,22,11-07-2024,"3479,02",Paid,12-07-2024,"93933,54"
INS-00023,LOAN-0008,CUST-0008,23,11-08-2024,"3479,02",Paid,15-08-2024,"90454,52"
INS-00024,LOAN-0008,CUST-0008,24,11-09-2024,"3479,02",Paid,15-09-2024,"86975,5"
INS-00025,LOAN-0008,CUST-0008,25,11-10-2024,"3479,02",Paid,14-10-2024,"83496,48"
INS-00026,LOAN-0008,CUST-0008,26,11-11-2024,"3479,02",Paid,15-11-2024,"80017,46"
INS-00027,LOAN-0008,CUST-0008,27,11-12-2024,"3479,02",Paid,15-12-2024,"76538,44"
INS-00028,LOAN-0008,CUST-0008,28,11-01-2025,"3479,02",Paid,13-01-2025,"73059,42"
INS-00029,LOAN-0008,CUST-0008,29,11-02-2025,"3479,02",Paid,15-02-2025,"69580,4"
INS-00030,LOAN-0008,CUST-0008,30,11-03-2025,"3479,02",Paid,11-03-2025,"66101,38"
INS-00031,LOAN-0008,CUST-0008,31,11-04-2025,"3479,02",Paid,13-04-2025,"62622,36"
INS-00032,LOAN-0008,CUST-0008,32,11-05-2025,"3479,02",Paid,14-05-2025,"59143,34"
INS-00033,LOAN-0008,CUST-0008,33,11-06-2025,"3479,02",Paid,14-06-2025,"55664,32"
INS-00034,LOAN-0008,CUST-0008,34,11-07-2025,"3479,02",Paid,14-07-2025,"52185,3"
INS-00035,LOAN-0008,CUST-0008,35,11-08-2025,"3479,02",Paid,14-08-2025,"48706,28"
INS-00036,LOAN-0008,CUST-0008,36,11-09-2025,"3479,02",Paid,12-09-2025,"45227,26"
INS-00037,LOAN-0008,CUST-0008,37,11-10-2025,"3479,02",Paid,13-10-2025,"41748,24"
INS-00038,LOAN-0008,CUST-0008,38,11-11-2025,"3479,02",Paid,11-11-2025,"38269,22"
INS-00039,LOAN-0008,CUST-0008,39,11-12-2025,"3479,02",Paid,11-12-2025,"34790,2"
INS-00040,LOAN-0008,CUST-0008,40,11-01-2026,"3479,02",Paid,11-01-2026,"31311,18"
INS-00041,LOAN-0008,CUST-0008,41,11-02-2026,"3479,02",Late,25-02-2026,"27832,16"
INS-00042,LOAN-0008,CUST-0008,42,11-03-2026,"3479,02",Paid,12-03-2026,"24353,14"
